,Quad,Labels,Angle,OTR8,OTR9,OTR40,OTR41,OTR42,OTR43
105,QM1,DX,-7.88e-05,-0.000155152,2.57e-22,0.001915573,-1.61e-16,0.001896047,-1.76e-16
106,QM1,DX,-7.86e-05,-0.000154758,2.57e-22,0.001910705,-1.62e-16,0.001891228,-1.76e-16
107,QM1,DX,-7.84e-05,-0.000154363,2.57e-22,0.001905837,-1.62e-16,0.00188641,-1.77e-16
108,QM1,DX,-7.82e-05,-0.000153969,2.57e-22,0.001900969,-1.61e-16,0.001881591,-1.76e-16
109,QM1,DX,-7.8e-05,-0.000153575,2.57e-22,0.001896101,-1.61e-16,0.001876773,-1.76e-16
110,QM1,DX,-7.78e-05,-0.00015318,2.57e-22,0.001891233,-1.61e-16,0.001871954,-1.76e-16
111,QM1,DX,-7.76e-05,-0.000152786,2.57e-22,0.001886364,-1.62e-16,0.001867136,-1.77e-16
112,QM1,DX,-7.74e-05,-0.000152392,2.57e-22,0.001881496,-1.62e-16,0.001862317,-1.77e-16
113,QM1,DX,-7.72e-05,-0.000151998,2.57e-22,0.001876628,-1.62e-16,0.001857499,-1.76e-16
114,QM1,DX,-7.7e-05,-0.000151603,2.57e-22,0.00187176,-1.61e-16,0.00185268,-1.76e-16
115,QM1,DX,-7.68e-05,-0.000151209,2.57e-22,0.001866892,-1.62e-16,0.001847862,-1.76e-16
116,QM1,DX,-7.66e-05,-0.000150815,2.57e-22,0.001862024,-1.62e-16,0.001843044,-1.76e-16
117,QM1,DX,-7.64e-05,-0.00015042,2.57e-22,0.001857156,-1.61e-16,0.001838225,-1.76e-16
118,QM1,DX,-7.62e-05,-0.000150026,2.57e-22,0.001852288,-1.62e-16,0.001833407,-1.77e-16
119,QM1,DX,-7.6e-05,-0.000149632,2.57e-22,0.00184742,-1.62e-16,0.001828588,-1.77e-16
120,QM1,DX,-7.58e-05,-0.000149238,2.57e-22,0.001842552,-1.62e-16,0.00182377,-1.77e-16
121,QM1,DX,-7.56e-05,-0.000148843,2.57e-22,0.001837684,-1.62e-16,0.001818951,-1.77e-16
122,QM1,DX,-7.54e-05,-0.000148449,2.57e-22,0.001832815,-1.62e-16,0.001814133,-1.77e-16
123,QM1,DX,-7.52e-05,-0.000148055,2.57e-22,0.001827947,-1.62e-16,0.001809314,-1.77e-16
124,QM1,DX,-7.5e-05,-0.00014766,2.57e-22,0.001823079,-1.62e-16,0.001804496,-1.77e-16
125,QM1,DX,-7.48e-05,-0.000147266,2.57e-22,0.001818211,-1.62e-16,0.001799677,-1.77e-16
126,QM1,DX,-7.46e-05,-0.000146872,2.57e-22,0.001813343,-1.63e-16,0.001794859,-1.78e-16
127,QM1,DX,-7.44e-05,-0.000146478,2.57e-22,0.001808475,-1.62e-16,0.00179004,-1.77e-16
128,QM1,DX,-7.42e-05,-0.000146083,2.57e-22,0.001803607,-1.63e-16,0.001785222,-1.78e-16
129,QM1,DX,-7.4e-05,-0.000145689,2.57e-22,0.001798739,-1.63e-16,0.001780403,-1.78e-16
130,QM1,DX,-7.38e-05,-0.000145295,2.57e-22,0.001793871,-1.63e-16,0.001775585,-1.78e-16
131,QM1,DX,-7.36e-05,-0.0001449,2.57e-22,0.001789003,-1.62e-16,0.001770766,-1.77e-16
132,QM1,DX,-7.34e-05,-0.000144506,2.57e-22,0.001784134,-1.62e-16,0.001765948,-1.77e-16
133,QM1,DX,-7.32e-05,-0.000144112,2.57e-22,0.001779266,-1.62e-16,0.00176113,-1.77e-16
134,QM1,DX,-7.3e-05,-0.000143717,2.57e-22,0.001774398,-1.62e-16,0.001756311,-1.77e-16
135,QM1,DX,-7.28e-05,-0.000143323,2.57e-22,0.00176953,-1.62e-16,0.001751493,-1.77e-16
136,QM1,DX,-7.26e-05,-0.000142929,2.57e-22,0.001764662,-1.62e-16,0.001746674,-1.77e-16
137,QM1,DX,-7.24e-05,-0.000142535,2.57e-22,0.001759794,-1.62e-16,0.001741856,-1.77e-16
138,QM1,DX,-7.22e-05,-0.00014214,2.57e-22,0.001754926,-1.62e-16,0.001737037,-1.77e-16
139,QM1,DX,-7.2e-05,-0.000141746,2.57e-22,0.001750058,-1.62e-16,0.001732219,-1.77e-16
140,QM1,DX,-7.18e-05,-0.000141352,2.57e-22,0.00174519,-1.62e-16,0.0017274,-1.77e-16
141,QM1,DX,-7.16e-05,-0.000140957,2.57e-22,0.001740322,-1.62e-16,0.001722582,-1.77e-16
142,QM1,DX,-7.14e-05,-0.000140563,2.57e-22,0.001735454,-1.62e-16,0.001717763,-1.77e-16
143,QM1,DX,-7.12e-05,-0.000140169,2.57e-22,0.001730585,-1.63e-16,0.001712945,-1.78e-16
144,QM1,DX,-7.1e-05,-0.000139775,2.57e-22,0.001725717,-1.63e-16,0.001708126,-1.78e-16
145,QM1,DX,-7.08e-05,-0.00013938,2.57e-22,0.001720849,-1.63e-16,0.001703308,-1.78e-16
146,QM1,DX,-7.06e-05,-0.000138986,2.57e-22,0.001715981,-1.62e-16,0.001698489,-1.77e-16
147,QM1,DX,-7.04e-05,-0.000138592,2.57e-22,0.001711113,-1.62e-16,0.001693671,-1.77e-16
148,QM1,DX,-7.02e-05,-0.000138197,2.57e-22,0.001706245,-1.62e-16,0.001688853,-1.77e-16
149,QM1,DX,-7e-05,-0.000137803,2.57e-22,0.001701377,-1.63e-16,0.001684034,-1.78e-16
150,QM1,DX,-6.98e-05,-0.000137409,2.57e-22,0.001696509,-1.63e-16,0.001679216,-1.78e-16
151,QM1,DX,-6.96e-05,-0.000137015,2.57e-22,0.001691641,-1.63e-16,0.001674397,-1.78e-16
152,QM1,DX,-6.94e-05,-0.00013662,2.57e-22,0.001686773,-1.63e-16,0.001669579,-1.78e-16
153,QM1,DX,-6.92e-05,-0.000136226,2.57e-22,0.001681904,-1.63e-16,0.00166476,-1.78e-16
154,QM1,DX,-6.9e-05,-0.000135832,2.57e-22,0.001677036,-1.63e-16,0.001659942,-1.78e-16
155,QM1,DX,-6.88e-05,-0.000135437,2.57e-22,0.001672168,-1.63e-16,0.001655123,-1.77e-16
156,QM1,DX,-6.86e-05,-0.000135043,2.57e-22,0.0016673,-1.62e-16,0.001650305,-1.77e-16
157,QM1,DX,-6.84e-05,-0.000134649,2.57e-22,0.001662432,-1.62e-16,0.001645486,-1.77e-16
