,betax_in,betay_in,angleb1,angleb2,angleb3,angleb4,divergence,emittence,centroid
38,5.7598,4.5713,0.00095,-0.0009883838383838385,-0.0009883838383838385,0.00095,1.995649e-06,3.924114091620207e-09,9.54558467277776e-05
39,5.7598,4.5713,0.00095,-0.0009893939393939395,-0.0009893939393939395,0.00095,1.9936569e-06,3.932367884373875e-09,6.908048626680807e-05
40,5.7598,4.5713,0.00095,-0.0009904040404040404,-0.0009904040404040404,0.00095,1.9923389e-06,3.892231135136648e-09,4.929937301721243e-05
41,5.7598,4.5713,0.00095,-0.0009914141414141414,-0.0009914141414141414,0.00095,1.9874073e-06,3.909456462160107e-09,0.0001385881846984
42,5.7598,4.5713,0.00095,-0.0009924242424242426,-0.0009924242424242426,0.00095,1.9982372e-06,3.99652109103958e-09,0.0001448988340197
43,5.7598,4.5713,0.00095,-0.0009934343434343435,-0.0009934343434343435,0.00095,1.9913676e-06,4.154206097597626e-09,4.958713113489415e-05
44,5.7598,4.5713,0.00095,-0.0009944444444444445,-0.0009944444444444445,0.00095,1.994484e-06,3.9312235622130784e-09,8.556489461166456e-05
45,5.7598,4.5713,0.00095,-0.0009954545454545455,-0.0009954545454545455,0.00095,1.9986532e-06,3.973970214035142e-09,0.0001580886727818
46,5.7598,4.5713,0.00095,-0.0009964646464646464,-0.0009964646464646464,0.00095,1.9910038e-06,3.923873670725463e-09,3.28142659238298e-05
47,5.7598,4.5713,0.00095,-0.0009974747474747476,-0.0009974747474747476,0.00095,1.993274e-06,3.925036833430858e-09,7.567547747932842e-05
48,5.7598,4.5713,0.00095,-0.0009984848484848486,-0.0009984848484848486,0.00095,1.9935499e-06,3.916937158349997e-09,6.248673506245217e-05
49,5.7598,4.5713,0.00095,-0.0009994949494949495,-0.0009994949494949495,0.00095,1.9933579e-06,3.925606554705151e-09,5.589129019847854e-05
50,5.7598,4.5713,0.00095,-0.0010005050505050505,-0.0010005050505050505,0.00095,1.9974031e-06,3.976107906063525e-09,0.0001317123221321
51,5.7598,4.5713,0.00095,-0.0010015151515151517,-0.0010015151515151517,0.00095,1.9914685e-06,4.129153395638103e-09,7.925073165365228e-05
52,5.7598,4.5713,0.00095,-0.0010025252525252526,-0.0010025252525252526,0.00095,1.9933579e-06,3.925606554705151e-09,5.589129019847854e-05
53,5.7598,4.5713,0.00095,-0.0010035353535353536,-0.0010035353535353536,0.00095,1.9910367000000002e-06,4.005555103712329e-09,3.146869073222412e-06
54,5.7598,4.5713,0.00095,-0.0010045454545454546,-0.0010045454545454546,0.00095,1.9909147999999998e-06,3.944176443937152e-09,2.622147707236068e-05
55,5.7598,4.5713,0.00095,-0.0010055555555555555,-0.0010055555555555555,0.00095,1.9974871e-06,3.978718597656196e-09,0.0001284161191373
56,5.7598,4.5713,0.00095,-0.0010065656565656567,-0.0010065656565656567,0.00095,1.993788e-06,3.930220529856153e-09,7.897147312827228e-05
57,5.7598,4.5713,0.00095,-0.0010075757575757577,-0.0010075757575757577,0.00095,1.9876494e-06,3.8482117664103514e-09,0.0001155158902068
58,5.7598,4.5713,0.00095,-0.0010085858585858587,-0.0010085858585858587,0.00095,1.9909977e-06,4.117780923534832e-09,1.9927595514453597e-05
59,5.7598,4.5713,0.00095,-0.0010095959595959596,-0.0010095959595959596,0.00095,1.9913317e-06,4.0646864454750686e-09,3.4439567687641693e-06
60,5.7598,4.5713,0.00095,-0.0010106060606060608,-0.0010106060606060608,0.00095,1.9875143000000002e-06,3.925078442977355e-09,0.0001550677690092
